qg_telephonecountry,Country Name
,
01c1a262-3b68-e911-a96a-000d3a464709,Saudi Arabia
04c0a262-3b68-e911-a96a-000d3a464709,Estonia
05c1a262-3b68-e911-a96a-000d3a464709,Serbia
0bc1a262-3b68-e911-a96a-000d3a464709,Singapore
10c0a262-3b68-e911-a96a-000d3a464709,Finland
10c1a262-3b68-e911-a96a-000d3a464709,Slovakia
12c0a262-3b68-e911-a96a-000d3a464709,France
12c1a262-3b68-e911-a96a-000d3a464709,Slovenia
18c1a262-3b68-e911-a96a-000d3a464709,South Africa
1ec1a262-3b68-e911-a96a-000d3a464709,Spain
20c0a262-3b68-e911-a96a-000d3a464709,Germany
2289e0f1-946f-ef11-a670-000d3a4ae434,North Macedonia
26c0a262-3b68-e911-a96a-000d3a464709,Greece
28c1a262-3b68-e911-a96a-000d3a464709,Sweden
2ac1a262-3b68-e911-a96a-000d3a464709,Switzerland
30c0a262-3b68-e911-a96a-000d3a464709,Guatemala
40c0a262-3b68-e911-a96a-000d3a464709,Honduras
42c0a262-3b68-e911-a96a-000d3a464709,Hong Kong
44c0a262-3b68-e911-a96a-000d3a464709,Hungary
48c0a262-3b68-e911-a96a-000d3a464709,India
4ac0a262-3b68-e911-a96a-000d3a464709,Indonesia
4cc1a262-3b68-e911-a96a-000d3a464709,Ukraine
4ec0a262-3b68-e911-a96a-000d3a464709,Iraq
4ec1a262-3b68-e911-a96a-000d3a464709,United Arab Emirates
50c0a262-3b68-e911-a96a-000d3a464709,Ireland
50c1a262-3b68-e911-a96a-000d3a464709,United Kingdom
54c0a262-3b68-e911-a96a-000d3a464709,Israel
54c1a262-3b68-e911-a96a-000d3a464709,United States of America
56c0a262-3b68-e911-a96a-000d3a464709,Italy
56c1a262-3b68-e911-a96a-000d3a464709,Uruguay
5794103d-8322-ef11-840a-6045bd8c2ae3,ERAG
58c0a262-3b68-e911-a96a-000d3a464709,Jamaica
5ac0a262-3b68-e911-a96a-000d3a464709,Japan
5ec0a262-3b68-e911-a96a-000d3a464709,Jordan
5ec1a262-3b68-e911-a96a-000d3a464709,Vietnam
68c0a262-3b68-e911-a96a-000d3a464709,Korea (the Republic of)
70c0a262-3b68-e911-a96a-000d3a464709,Latvia
7cc0a262-3b68-e911-a96a-000d3a464709,Lithuania
7ec0a262-3b68-e911-a96a-000d3a464709,Luxembourg
86bfa262-3b68-e911-a96a-000d3a464709,Andorra
88c0a262-3b68-e911-a96a-000d3a464709,Malaysia
90bfa262-3b68-e911-a96a-000d3a464709,Argentina
96bfa262-3b68-e911-a96a-000d3a464709,Australia
98bfa262-3b68-e911-a96a-000d3a464709,Austria
9ac0a262-3b68-e911-a96a-000d3a464709,Mexico
9b74bdfe-c656-ed11-bba2-6045bd895e74,Kosovo
9ebfa262-3b68-e911-a96a-000d3a464709,Bahrain
a0c0a262-3b68-e911-a96a-000d3a464709,Monaco
a4c0a262-3b68-e911-a96a-000d3a464709,Montenegro
a6bfa262-3b68-e911-a96a-000d3a464709,Belgium
a9c0a262-3b68-e911-a96a-000d3a464709,Morocco
b0bfa262-3b68-e911-a96a-000d3a464709,Bolivia
b4bfa262-3b68-e911-a96a-000d3a464709,Bosnia and Herzegovina
b5c0a262-3b68-e911-a96a-000d3a464709,Netherlands
b6aacadb-c1d4-ee11-904c-000d3aaaefd7,Northern Ireland
b9c0a262-3b68-e911-a96a-000d3a464709,New Zealand
babfa262-3b68-e911-a96a-000d3a464709,Brazil
bbc0a262-3b68-e911-a96a-000d3a464709,Nicaragua
c0bfa262-3b68-e911-a96a-000d3a464709,Bulgaria
c7c0a262-3b68-e911-a96a-000d3a464709,Norway
c9c0a262-3b68-e911-a96a-000d3a464709,Oman
ccbfa262-3b68-e911-a96a-000d3a464709,Canada
d1c0a262-3b68-e911-a96a-000d3a464709,Panama
d4bfa262-3b68-e911-a96a-000d3a464709,Chile
d5c0a262-3b68-e911-a96a-000d3a464709,Paraguay
d7c0a262-3b68-e911-a96a-000d3a464709,Peru
d9c0a262-3b68-e911-a96a-000d3a464709,Philippines
dcbfa262-3b68-e911-a96a-000d3a464709,Colombia
ddc0a262-3b68-e911-a96a-000d3a464709,Poland
dfc0a262-3b68-e911-a96a-000d3a464709,Portugal
e1c0a262-3b68-e911-a96a-000d3a464709,Puerto Rico
e3c0a262-3b68-e911-a96a-000d3a464709,Qatar
e4bfa262-3b68-e911-a96a-000d3a464709,Costa Rica
e7c0a262-3b68-e911-a96a-000d3a464709,Romania
e8bfa262-3b68-e911-a96a-000d3a464709,Croatia
e9c0a262-3b68-e911-a96a-000d3a464709,Russian Federation
f0bfa262-3b68-e911-a96a-000d3a464709,Czechia
f2bfa262-3b68-e911-a96a-000d3a464709,Denmark
f8bfa262-3b68-e911-a96a-000d3a464709,Dominican Republic
fabfa262-3b68-e911-a96a-000d3a464709,Ecuador
fcbfa262-3b68-e911-a96a-000d3a464709,Egypt
febfa262-3b68-e911-a96a-000d3a464709,El Salvador
