industrycode,industrycode_display
,
21,
25,
27,
140300001,Franchising
140300002,Not-for-Profit Organization (NFPO)
777040000,Agri Food
777040001,Restaurants and Bars
777040002,Manufacturing
777040003,"Water, Sewerage, Waste & Remediation Services"
777040004,Built Environment & Construction
777040005,Retail & Wholesale
777040006,Health Care
777040007,Hospitality & Leisure
777040008,"IT, Communication & Media Services"
777040009,"Banking, Financial & Insurance Services"
777040010,"Energy (Electricity, Oil & Gas)"
777040011,"Real Estate (Land, Industrial, Commercial & Residential)"
777040012,Professional Services
777040013,Admin & Support Services
777040014,Public Services & Defence
777040015,Education
777040016,Test
777040017,"Arts, Entertainment & Recreation"
777040018,Others
777040019,"Logistics, Transport & Distributions"
777040020,Hospitality
777040021,Public Services & Defense
777040022,Pharmaceuticals
777040023,Renewable Energy
777040025,"Technology, Information and Media"
777040026,Banking & Pensions
777040027,Construction
777040028,"IT, Communications, Print"
777040029,Banking
777040030,Security
777040031,Sports & Hospitality
777040032,Wholesale
777040036,"Logistics, Transport & Distribution"
777040044,Frieght
777040045,Shipping
777040046,Transportation
777040047,Automotive Care
777040048,Business Services
777040049,Contractors
777040050,Healthcare
